,DISTANCE,UNIQUE_CARRIER,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME
0,51,H6,CKD,"Crooked Creek, AK",SRV,"Stony River, AK"
1,51,H6,KWN,"Quinhagak, AK",PTU,"Platinum, AK"
2,51,H6,PTU,"Platinum, AK",KWN,"Quinhagak, AK"
3,51,H6,KTS,"Brevig Mission, AK",WAA,"Wales, AK"
4,51,H6,WAA,"Wales, AK",KTS,"Brevig Mission, AK"
5,51,3AQ,SCC,"Deadhorse, AK",A1K,"Deadhorse1, AK"
6,51,3AQ,A1K,"Deadhorse1, AK",SCC,"Deadhorse, AK"
7,51,27Q,RIL,"Rifle, CO",ASE,"Aspen, CO"
8,51,27Q,ASE,"Aspen, CO",RIL,"Rifle, CO"
9,51,U7,FNT,"Flint, MI",YIP,"Detroit, MI"
10,51,U7,YIP,"Detroit, MI",FNT,"Flint, MI"
11,51,EM,SLE,"Salem, OR",PDX,"Portland, OR"
12,51,8E,TNC,"Tin City, AK",TLA,"Teller, AK"
13,51,FX,SGU,"St. George, UT",CDC,"Cedar City, UT"
14,51,Z3,NNK,"Naknek, AK",KNW,"New Stuyahok, AK"
15,51,7S,SRV,"Stony River, AK",CKD,"Crooked Creek, AK"
16,51,7S,ZNC,"Nyac, AK",KWT,"Kwethluk, AK"
17,51,27Q,SNA,"Santa Ana, CA",CLD,"Carlsbad, CA"
18,51,OO,HLN,"Helena, MT",BTM,"Butte, MT"
19,51,K2,KWT,"Kwethluk, AK",WTL,"Tuntutuliak, AK"
20,51,OO,CDC,"Cedar City, UT",SGU,"St. George, UT"
21,51,2O,A43,"Kodiak Island, AK",OLH,"Old Harbor, AK"
22,52,8E,WBB,"Stebbins, AK",UNK,"Unalakleet, AK"
23,52,8E,UNK,"Unalakleet, AK",WBB,"Stebbins, AK"
24,52,4W,WBQ,"Beaver, AK",SVS,"Stevens Village, AK"
25,52,H6,KOT,"Kotlik, AK",WBB,"Stebbins, AK"
26,52,09Q,PVD,"Providence, RI",BED,"Bedford, MA"
27,52,YV,MTJ,"Montrose/Delta, CO",GUC,"Gunnison, CO"
28,52,V8,AKN,"King Salmon, AK",IGG,"Igiugig, AK"
29,52,GV,IGG,"Igiugig, AK",AKN,"King Salmon, AK"
30,52,4W,SVS,"Stevens Village, AK",WBQ,"Beaver, AK"
31,52,4B,GWO,"Greenwood, MS",GLH,"Greenville, MS"
32,52,7S,HCR,"Holy Cross, AK",FVQ,"Donlin Creek Mine, AK"
33,52,H6,SCM,"Scammon Bay, AK",SXP,"Sheldon Point, AK"
34,52,2EQ,TLJ,"Tatalina, AK",NIB,"Nikolai, AK"
35,52,GV,SXP,"Sheldon Point, AK",SCM,"Scammon Bay, AK"
36,52,Z3,CLP,"Clarks Point, AK",KEK,"Ekwok, AK"
37,53,H6,AUK,"Alakanuk, AK",MOU,"Mountain Village, AK"
38,53,H6,MOU,"Mountain Village, AK",AUK,"Alakanuk, AK"
39,53,H6,AKI,"Akiak, AK",KLG,"Kalskag, AK"
40,53,H6,KLG,"Kalskag, AK",AKI,"Akiak, AK"
41,53,VI,SIG,"San Juan, PR",CPX,"Culebra, PR"
42,53,VI,CPX,"Culebra, PR",SIG,"San Juan, PR"
43,53,2EQ,NIB,"Nikolai, AK",TCT,"Takotna, AK"
44,53,2EQ,TCT,"Takotna, AK",NIB,"Nikolai, AK"
45,53,04Q,MMU,"Morristown, NJ",FRG,"East Farmingdale, NY"
46,53,04Q,FRG,"East Farmingdale, NY",MMU,"Morristown, NJ"
47,53,Z3,KNW,"New Stuyahok, AK",IGG,"Igiugig, AK"
48,53,2O,A43,"Kodiak Island, AK",KZB,"Zachar Bay, AK"
49,53,2O,KZB,"Zachar Bay, AK",A43,"Kodiak Island, AK"
50,53,EV,GPT,"Gulfport/Biloxi, MS",MOB,"Mobile, AL"
51,53,04Q,BDR,"Bridgeport, CT",TEB,"Teterboro, NJ"
52,53,8V,WBQ,"Beaver, AK",VEE,"Venetie, AK"
53,53,8V,VEE,"Venetie, AK",KBC,"Birch Creek, AK"
54,54,8E,WLK,"Selawik, AK",BKC,"Buckland, AK"
55,54,8E,BKC,"Buckland, AK",WLK,"Selawik, AK"
